Year,City,Country,Continent,Latitude,Longitude
1900,Paris,France,Europe,48.856613,2.352222
1904,St. Louis,USA,America,38.627003,-90.199402
1908,London,UK,Europe,51.507351,-0.127758
1912,Stockholm,Sweden,Europe,59.329323,18.068581
1920,Antwerpen,Belgium,Europe,51.22111,4.399708
1924,Paris,France,Europe,48.856613,2.352222
1928,Amsterdam,Netherland,Europe,52.371009,4.900112
1932,Los Angeles,USA,America,34.052238,-118.243344
1936,Berlin,Germany,Europe,52.517037,13.38886
1948,London,UK,Europe,51.507351,-0.127758
1952,Helsinki,Finland,Europe,60.166628,24.943508
1956,Melbourne,Australia,Oceania,-37.814255,144.963146
1960,Roma,Italy,Europe,41.893344,12.483072
1964,Tokyo,Japan,Asia,35.680071,139.768522
1968,Mexico City,Mexico,America,19.43253,-99.13321
1972,Munich,Germany,Europe,48.13641,11.57753
1976,Montreal,Canada,America,45.509062,-73.553363
1980,Moskva,Russia,Europe,55.751634,37.618704
1984,Los Angeles,USA,America,34.052238,-118.243344
1988,Seoul,South Korea,Asia,37.566601,127
1992,Barcelona,Spain,Europe,41.38256,2.177135
1996,Atlanta,USA,America,33.748547,-84.391502
2000,Sydney,Australia,Oceania,-33.854816,151.216454
2004,Athina,Greece,Europe,37.975342,23.736151
2008,Beijing,China,Asia,39.90647,116.391195
2012,London,UK,Europe,51.507351,-0.127758
2016,Rio de Janeiro,Brazil,America,-22.911014,-43.209373
